Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,MonthlyIncomeGroup,Working_Hours_Group,Experience_Group,Long_Term,Senior_Employee,High_Performer,Salary_Level
55,25,,,,,5,16413,88,10,12,7,3,1,2,8,,3,57,12,4,2,4,44,1,,,High,Expert,1,0,0,Level 4
56,23,,,,,3,14084,69,5,7,7,2,1,4,38,,7,47,11,1,2,2,3,3,,,High,Experienced,1,0,1,Level 3
57,48,,,,,5,7465,18,27,6,0,1,1,4,63,,4,36,11,1,4,2,46,3,,High,Normal,,1,0,1,Level 2
58,37,,,,,5,7946,72,18,3,2,1,5,2,56,,8,34,1,3,4,2,28,2,,High,Low,,1,0,0,Level 2
59,45,,,,,3,13514,84,29,2,4,4,5,4,81,,9,38,17,1,2,3,12,3,,,Normal,,1,0,1,Level 3
60,53,,,,,4,11238,73,17,1,0,3,2,2,14,,6,54,11,3,3,4,10,3,,Very High,High,,1,1,0,Level 2
61,29,,,,,2,6661,40,18,2,5,2,3,2,79,,6,46,17,3,1,1,13,1,,High,High,,1,0,0,Level 1
62,55,,,,,3,5564,88,4,12,3,2,4,3,84,,6,58,7,1,3,4,29,4,,Medium,High,Experienced,0,1,0,Level 1
63,33,,,,,5,7927,83,20,5,8,1,5,2,24,,8,45,2,3,4,3,46,1,,High,Normal,,1,0,0,Level 2
64,50,,,,,5,13858,53,1,1,1,3,2,1,87,,2,42,13,1,1,1,23,3,,,Normal,New,0,1,0,Level 3
65,34,,,,,2,18295,15,13,8,9,3,3,4,15,,2,41,2,4,3,3,23,2,,,Normal,,1,0,1,Level 4
66,27,,,,,1,4452,71,29,4,4,2,1,1,48,,6,39,3,3,1,4,27,4,,Medium,Normal,,1,0,0,Level 1
67,33,,,,,3,9179,62,24,3,4,3,4,2,72,,7,47,1,4,1,2,44,4,,Very High,High,,1,0,0,Level 2
68,42,,,,,4,5454,86,10,10,5,1,5,2,78,,6,49,13,2,4,3,6,3,,Medium,High,Expert,1,0,0,Level 1
69,59,,,,,2,7060,35,28,2,4,2,2,1,47,,3,34,17,3,3,2,19,2,,High,Low,,1,1,0,Level 1
70,40,,,,,2,17747,45,15,1,9,4,1,1,76,,6,36,8,4,4,1,25,1,,,Normal,,1,0,0,Level 4
71,35,,,,,3,14955,72,24,8,9,4,3,4,59,,3,50,1,2,4,1,13,3,,,High,,1,0,1,Level 3
72,37,,,,,5,11970,61,24,9,8,1,2,1,60,,1,58,4,3,1,4,11,2,,Very High,High,,1,0,0,Level 3
73,43,,,,,5,17226,37,5,3,0,3,3,2,43,,4,30,2,4,4,4,46,2,,,Low,Experienced,1,0,0,Level 4
74,45,,,,,4,16119,89,26,3,7,2,5,4,23,,4,49,14,4,3,3,6,2,,,High,,1,0,1,Level 4
75,44,,,,,3,16384,94,18,9,5,1,2,4,50,,2,50,5,4,2,3,46,1,,,High,,1,0,1,Level 4
76,48,,,,,2,4601,21,4,7,8,2,4,1,32,,6,44,15,4,1,1,19,4,,Medium,Normal,Experienced,0,0,0,Level 1
77,34,,,,,3,6843,63,1,12,9,2,1,2,11,,5,41,2,2,3,3,23,3,,High,Normal,New,0,0,0,Level 1
78,20,,,,,1,18744,45,10,12,6,1,2,4,9,,1,31,8,2,1,2,32,1,,,Low,Expert,1,0,1,Level 4
79,44,,,,,2,6675,61,17,9,2,4,5,2,30,,2,46,6,1,2,2,43,2,,High,High,,1,0,0,Level 1
80,26,,,,,4,15049,82,28,2,7,2,5,2,55,,6,43,10,4,1,2,49,1,,,Normal,,1,0,0,Level 3
81,28,,,,,4,4005,49,26,7,9,2,3,2,3,,3,59,12,3,3,3,21,4,,Medium,High,,1,0,0,Level 1
82,43,,,,,2,3231,89,3,14,2,2,3,1,35,,7,47,6,4,4,4,36,3,,Medium,High,New,0,0,0,Level 1
83,20,,,,,5,14845,48,4,13,2,1,4,3,9,,1,45,16,1,3,4,26,3,,,Normal,Experienced,0,0,0,Level 3
84,27,,,,,2,19374,72,12,8,3,1,5,4,66,,7,49,3,4,2,4,23,4,,,High,,1,0,1,Level 4
85,43,,,,,2,19230,29,27,11,2,4,5,4,21,,3,45,10,2,3,3,24,3,,,Normal,,1,0,1,Level 4
86,30,,,,,1,18389,92,28,4,5,2,5,4,84,,6,55,17,1,4,3,8,1,,,High,,1,0,1,Level 4
87,36,,,,,2,7970,99,11,13,6,1,1,3,37,,1,32,19,3,2,1,4,4,,High,Low,Expert,1,0,0,Level 2
88,27,,,,,3,18092,85,3,10,2,2,1,4,45,,1,43,16,4,2,2,16,2,,,Normal,New,0,0,1,Level 4
89,54,,,,,3,12089,95,28,11,2,4,5,3,66,,1,57,8,2,3,4,20,4,,,High,,1,1,0,Level 3
90,54,,,,,4,17867,56,11,4,6,3,1,1,28,,6,37,19,1,2,2,21,1,,,Normal,Expert,1,1,0,Level 4
91,52,,,,,5,10882,32,3,12,9,3,5,1,50,,2,33,8,3,3,1,49,3,,Very High,Low,New,0,1,0,Level 2
92,24,,,,,4,11343,92,24,2,8,3,3,2,59,,8,33,18,2,1,4,40,1,,Very High,Low,,1,0,0,Level 2
93,58,,,,,1,19555,52,4,2,2,4,3,4,58,,9,50,5,2,2,4,48,3,,,High,Experienced,0,1,1,Level 4
94,47,,,,,2,8524,78,3,4,5,1,1,4,4,,6,30,1,2,3,2,47,2,,High,Low,New,0,0,1,Level 2
95,26,,,,,4,4429,43,25,4,4,2,3,4,2,,9,59,0,3,1,3,31,1,,Medium,High,,1,0,1,Level 1
96,28,,,,,2,6199,24,12,5,7,1,3,3,63,,7,30,0,2,4,1,8,4,,High,Low,,1,0,0,Level 1
97,27,,,,,4,13090,31,12,10,8,3,4,1,93,,3,45,19,4,2,3,35,4,,,Normal,,1,0,0,Level 3
98,31,,,,,2,10432,46,17,14,7,3,4,2,46,,9,42,7,3,4,3,29,3,,Very High,Normal,,1,0,0,Level 2
99,53,,,,,4,17069,75,24,10,0,2,5,2,39,,7,55,13,3,3,3,6,2,,,High,,1,1,0,Level 4
100,52,,,,,3,19483,98,21,13,6,2,2,2,7,,5,43,5,3,2,2,11,2,,,Normal,,1,1,0,Level 4
101,42,,,,,1,16875,95,8,10,7,4,2,4,55,,7,50,13,4,2,2,25,2,,,High,Expert,1,0,1,Level 4
102,43,,,,,4,16196,60,10,9,4,2,4,4,76,,3,51,9,4,2,1,4,2,,,High,Expert,1,0,1,Level 4
103,56,,,,,3,19970,85,16,11,3,1,5,2,53,,1,44,5,3,1,1,41,4,,,Normal,,1,1,0,Level 4
104,54,,,,,5,14159,70,19,9,6,1,4,2,83,,3,32,10,1,4,4,31,1,,,Low,,1,1,0,Level 3
105,59,,,,,4,19639,75,15,7,5,2,3,2,76,,8,33,13,1,1,1,30,3,,,Low,,1,1,0,Level 4
106,41,,,,,2,6007,58,22,6,1,1,5,1,5,,4,44,1,3,1,1,18,3,,High,Normal,,1,0,0,Level 1
107,46,,,,,1,16966,52,11,10,8,1,5,4,73,,6,37,17,4,4,4,34,2,,,Normal,Expert,1,0,1,Level 4
108,54,,,,,3,16696,64,7,5,2,3,2,2,52,,5,34,18,2,4,4,39,3,,,Low,Senior,1,1,0,Level 4
109,20,,,,,3,15402,88,24,4,0,3,2,4,25,,6,54,9,1,3,3,21,1,,,High,,1,0,1,Level 3
110,54,,,,,1,8112,46,7,2,2,2,2,1,69,,1,47,15,1,3,3,32,2,,High,High,Senior,1,1,0,Level 2
111,56,,,,,4,4580,67,23,4,0,2,1,1,25,,2,51,0,4,1,2,46,2,,Medium,High,,1,1,0,Level 1
112,33,,,,,2,6226,62,18,11,9,2,3,3,27,,9,59,18,4,1,1,41,3,,High,High,,1,0,0,Level 1
113,22,,,,,5,7590,95,19,7,6,3,3,3,75,,3,54,6,3,3,3,7,4,,High,High,,1,0,0,Level 2
114,20,,,,,4,19465,15,16,1,5,1,3,4,52,,2,43,14,1,4,1,22,3,,,Normal,,1,0,1,Level 4
115,24,,,,,1,6012,44,22,3,7,4,3,4,60,,5,50,12,2,2,1,34,1,,High,High,,1,0,1,Level 1
116,45,,,,,4,8301,23,3,4,3,1,3,4,39,,5,42,5,4,4,2,49,3,,High,Normal,New,0,0,1,Level 2
117,33,,,,,4,6112,47,25,7,5,4,3,2,67,,6,50,8,3,1,2,32,3,,High,High,,1,0,0,Level 1
118,58,,,,,1,9588,40,25,3,2,3,1,4,87,,3,42,12,3,3,2,9,4,,Very High,Normal,,1,1,1,Level 2
119,46,,,,,1,8381,56,6,4,3,4,5,4,14,,5,40,15,3,3,1,43,3,,High,Normal,Senior,1,0,1,Level 2
120,28,,,,,5,17067,88,1,1,5,2,2,2,87,,5,50,5,2,2,1,33,3,,,High,New,0,0,0,Level 4
121,34,,,,,1,5104,56,1,12,4,2,2,3,12,,8,59,18,4,1,1,6,1,,Medium,High,New,0,0,0,Level 1
122,34,,,,,1,10726,53,15,1,1,2,2,2,66,,5,56,14,2,2,2,24,4,,Very High,High,,1,0,0,Level 2
123,45,,,,,1,12790,75,20,10,8,2,3,1,90,,1,35,7,4,1,4,15,1,,,Low,,1,0,0,Level 3
124,32,,,,,3,11770,61,11,12,1,1,2,1,44,,1,59,10,1,3,1,13,4,,Very High,High,Expert,1,0,0,Level 3
125,51,,,,,1,12106,56,10,3,7,2,1,4,78,,1,37,8,1,3,1,14,2,,,Normal,Expert,1,1,1,Level 3
126,58,,,,,1,17006,62,24,7,4,4,3,4,25,,9,45,1,4,2,4,14,4,,,Normal,,1,1,1,Level 4
127,51,,,,,1,3774,66,3,13,6,3,3,4,55,,7,37,1,4,3,2,10,3,,Medium,Normal,New,0,1,1,Level 1
128,23,,,,,5,3056,47,4,11,5,2,1,2,22,,3,30,4,2,3,2,27,1,,Medium,Low,Experienced,0,0,0,Level 1
129,49,,,,,4,10226,41,12,6,1,1,5,3,38,,2,49,5,4,4,4,45,2,,Very High,High,,1,0,0,Level 2
130,56,,,,,1,3545,57,27,5,3,2,1,2,96,,2,38,6,2,2,1,39,4,,Medium,Normal,,1,1,0,Level 1
131,42,,,,,1,7906,43,6,8,8,2,1,4,20,,6,43,4,1,3,2,13,3,,High,Normal,Senior,1,0,1,Level 2
132,58,,,,,5,12605,33,27,11,6,1,1,3,13,,6,41,10,4,1,4,39,2,,,Normal,,1,1,0,Level 3
133,34,,,,,4,9395,96,25,8,0,3,5,1,12,,6,51,2,2,1,1,12,1,,Very High,High,,1,0,0,Level 2
134,48,,,,,5,17501,42,20,4,3,1,2,3,31,,2,34,1,2,1,2,45,4,,,Low,,1,0,0,Level 4
135,55,,,,,2,15275,24,19,10,9,4,1,3,11,,7,50,0,2,3,2,29,1,,,High,,1,1,0,Level 3
136,32,,,,,2,6388,81,26,6,2,1,3,2,62,,3,43,18,4,1,3,12,2,,High,Normal,,1,0,0,Level 1
137,51,,,,,2,13821,30,26,12,0,4,2,3,51,,1,43,1,2,1,4,40,3,,,Normal,,1,1,0,Level 3
138,26,,,,,1,3571,15,16,1,4,2,2,3,73,,3,49,1,3,1,1,31,2,,Medium,High,,1,0,0,Level 1
139,41,,,,,5,19109,96,25,10,8,1,4,1,21,,6,34,18,2,3,1,23,3,,,Low,,1,0,0,Level 4
140,47,,,,,1,6927,18,23,14,3,2,1,3,46,,7,59,19,4,4,2,45,3,,High,High,,1,0,0,Level 1
141,21,,,,,2,19731,83,25,12,1,1,2,2,24,,3,47,9,4,4,3,31,4,,,High,,1,0,0,Level 4
142,25,,,,,4,7592,99,27,10,6,4,3,1,92,,8,38,2,4,4,1,19,2,,High,Normal,,1,0,0,Level 2
143,47,,,,,4,13691,18,10,9,7,1,5,3,70,,3,48,9,4,3,4,49,2,,,High,Expert,1,0,0,Level 3
144,47,,,,,5,19599,34,6,14,1,4,5,4,34,,6,59,11,1,3,1,32,2,,,High,Senior,1,0,1,Level 4
145,39,,,,,4,9613,77,20,5,9,2,2,3,92,,2,30,3,2,1,1,1,1,,Very High,Low,,1,0,0,Level 2
146,49,,,,,2,14092,97,5,14,8,1,5,1,79,,9,58,10,1,1,4,13,4,,,High,Experienced,1,0,0,Level 3
147,30,,,,,5,11477,49,10,8,9,1,4,3,71,,7,58,11,2,3,1,35,4,,Very High,High,Expert,1,0,0,Level 3
148,47,,,,,5,11052,59,12,10,7,2,5,1,50,,8,31,17,4,4,4,46,3,,Very High,Low,,1,0,0,Level 2
149,44,,,,,2,6059,71,18,10,3,1,5,1,58,,2,50,12,3,2,1,9,1,,High,High,,1,0,0,Level 1
150,58,,,,,2,3050,38,3,1,3,4,5,2,72,,4,41,8,1,3,2,13,1,,Medium,Normal,New,0,1,0,Level 1
151,52,,,,,2,8538,34,5,14,4,1,3,3,19,,8,39,0,4,2,2,35,3,,High,Normal,Experienced,1,1,0,Level 2
152,20,,,,,2,4725,42,29,4,0,2,4,4,18,,9,50,13,1,3,3,8,3,,Medium,High,,1,0,1,Level 1
153,46,,,,,5,18410,52,3,13,6,1,4,1,15,,4,56,16,4,1,1,44,4,,,High,New,0,0,0,Level 4
154,32,,,,,4,7566,38,3,2,3,3,5,1,61,,6,48,7,1,4,3,41,1,,High,High,New,0,0,0,Level 2
155,22,,,,,2,14495,98,9,2,0,1,2,2,28,,5,51,15,3,4,4,11,4,,,High,Expert,1,0,0,Level 3
156,58,,,,,3,10857,38,4,2,3,1,3,2,97,,6,49,10,1,4,1,35,3,,Very High,High,Experienced,0,1,0,Level 2
157,25,,,,,5,13909,84,20,2,3,1,2,2,91,,3,31,4,2,1,4,18,1,,,Low,,1,0,0,Level 3
158,27,,,,,1,10826,39,17,8,0,2,1,1,33,,5,33,11,4,4,3,14,2,,Very High,Low,,1,0,0,Level 2
159,46,,,,,4,16791,95,28,6,8,2,3,4,80,,7,50,14,4,1,3,43,4,,,High,,1,0,1,Level 4
160,28,,,,,5,7533,95,7,9,7,4,5,1,3,,4,35,11,1,3,1,2,3,,High,Low,Senior,1,0,0,Level 2
161,56,,,,,2,18491,83,29,2,8,3,3,2,54,,5,46,10,4,3,1,48,2,,,High,,1,1,0,Level 4
162,52,,,,,3,19907,31,26,13,6,2,3,2,51,,6,58,3,3,3,4,49,4,,,High,,1,1,0,Level 4
163,43,,,,,1,7601,72,13,1,4,3,2,2,97,,9,52,12,3,4,2,15,1,,High,High,,1,0,0,Level 2
164,34,,,,,4,13130,87,25,14,6,1,1,2,29,,9,30,19,2,3,2,40,2,,,Low,,1,0,0,Level 3
165,51,,,,,2,4204,34,28,8,1,1,3,1,58,,9,59,15,3,4,1,48,4,,Medium,High,,1,1,0,Level 1
166,51,,,,,5,7082,16,24,10,9,1,1,2,63,,1,49,7,2,3,1,23,4,,High,High,,1,1,0,Level 1
167,43,,,,,5,6334,97,12,14,6,1,1,4,37,,3,58,19,4,1,1,15,2,,High,High,,1,0,1,Level 1
168,31,,,,,4,3711,23,18,13,3,3,2,4,29,,2,39,11,1,4,2,45,1,,Medium,Normal,,1,0,1,Level 1
169,58,,,,,3,12104,77,22,3,4,4,2,1,94,,6,33,4,2,4,4,2,1,,,Low,,1,1,0,Level 3
170,21,,,,,2,8710,97,26,3,6,3,5,2,42,,9,30,16,4,3,4,21,4,,High,Low,,1,0,0,Level 2
171,22,,,,,4,12926,82,26,8,1,1,5,3,95,,2,45,2,3,2,4,23,3,,,Normal,,1,0,0,Level 3
172,56,,,,,4,18977,20,15,5,4,4,3,3,55,,7,54,0,3,1,2,29,2,,,High,,1,1,0,Level 4
173,36,,,,,5,13328,25,5,8,1,4,5,1,97,,1,54,15,1,1,2,31,1,,,High,Experienced,1,0,0,Level 3
174,21,,,,,4,3331,35,24,2,9,1,2,2,81,,4,48,2,1,1,2,22,1,,Medium,High,,1,0,0,Level 1
175,21,,,,,1,18790,77,1,10,5,4,5,4,5,,1,56,16,3,1,3,6,1,,,High,New,0,0,1,Level 4
176,47,,,,,1,6834,44,9,9,9,2,5,2,2,,1,44,3,1,2,1,47,3,,High,Normal,Expert,1,0,0,Level 1
177,42,,,,,2,19177,96,9,2,7,1,5,4,39,,7,33,2,4,4,4,12,3,,,Low,Expert,1,0,1,Level 4
178,56,,,,,4,11899,35,13,9,6,4,1,4,77,,5,30,0,4,2,4,26,1,,Very High,Low,,1,1,1,Level 3
179,51,,,,,5,10210,37,11,10,4,3,5,4,37,,8,46,5,1,1,1,10,2,,Very High,High,Expert,1,1,1,Level 2
180,52,,,,,2,8804,75,28,6,2,4,2,4,16,,2,48,10,3,4,2,12,3,,High,High,,1,1,1,Level 2
181,20,,,,,3,10733,44,23,12,3,3,1,4,50,,6,50,7,1,1,3,15,4,,Very High,High,,1,0,1,Level 2
182,38,,,,,5,3252,60,24,12,1,2,5,4,26,,9,43,5,1,3,1,18,1,,Medium,Normal,,1,0,1,Level 1
183,21,,,,,3,12190,74,29,5,5,1,5,4,36,,3,38,4,3,2,1,5,3,,,Normal,,1,0,1,Level 3
184,45,,,,,2,17122,32,9,7,7,4,2,2,25,,6,44,4,2,4,3,15,1,,,Normal,Expert,1,0,0,Level 4
185,51,,,,,1,8827,76,29,14,7,2,3,4,77,,9,42,17,3,3,3,28,2,,High,Normal,,1,1,1,Level 2
186,25,,,,,5,11484,59,5,7,8,3,2,2,59,,3,38,9,4,4,4,9,4,,Very High,Normal,Experienced,1,0,0,Level 3
187,51,,,,,5,10552,75,14,4,4,2,4,3,99,,5,47,13,2,3,1,36,2,,Very High,High,,1,1,0,Level 2
188,23,,,,,2,17351,73,27,7,9,2,2,1,87,,6,42,14,2,3,4,17,3,,,Normal,,1,0,0,Level 4
189,30,,,,,5,19420,49,16,3,5,3,3,3,20,,1,59,14,3,4,3,21,4,,,High,,1,0,0,Level 4
190,36,,,,,5,4444,36,2,3,1,1,2,3,64,,8,40,4,1,1,3,27,2,,Medium,Normal,New,0,0,0,Level 1
191,57,,,,,2,10793,38,15,7,9,2,1,2,61,,3,55,1,3,4,1,29,2,,Very High,High,,1,1,0,Level 2
192,43,,,,,4,9677,65,17,1,3,2,1,1,41,,8,34,5,4,4,3,43,2,,Very High,Low,,1,0,0,Level 2
193,24,,,,,2,10861,79,5,8,2,3,2,1,95,,1,55,9,4,2,1,42,1,,Very High,High,Experienced,1,0,0,Level 2
194,53,,,,,5,16268,29,24,11,8,3,1,4,62,,4,48,7,2,4,4,39,1,,,High,,1,1,1,Level 4
195,25,,,,,2,13634,42,10,2,5,2,3,3,74,,4,35,17,3,2,3,10,4,,,Low,Expert,1,0,0,Level 3
196,41,,,,,5,9420,56,15,1,5,4,4,3,57,,8,32,12,4,1,2,40,2,,Very High,Low,,1,0,0,Level 2
197,30,,,,,3,7378,34,20,6,3,3,4,2,80,,4,45,6,2,2,2,3,3,,High,Normal,,1,0,0,Level 2
198,35,,,,,3,3998,57,4,4,5,1,3,4,61,,4,47,18,2,4,1,4,2,,Medium,High,Experienced,0,0,1,Level 1
199,52,,,,,1,7302,94,4,7,0,4,5,1,66,,7,39,3,4,2,2,49,2,,High,Normal,Experienced,0,1,0,Level 2
200,28,,,,,2,10830,83,24,12,8,4,5,3,28,,8,32,8,3,3,3,34,4,,Very High,Low,,1,0,0,Level 2
201,25,,,,,2,17898,77,29,3,2,2,4,3,18,,6,31,6,3,3,2,42,2,,,Low,,1,0,0,Level 4
202,35,,,,,3,17054,57,7,11,4,1,1,3,96,,4,30,9,2,3,3,14,4,,,Low,Senior,1,0,0,Level 4
203,48,,,,,3,9735,93,29,2,6,4,1,2,4,,7,45,19,1,3,1,23,1,,Very High,Normal,,1,0,0,Level 2
204,22,,,,,3,3130,16,27,12,1,3,5,2,65,,9,45,4,4,1,1,31,4,,Medium,Normal,,1,0,0,Level 1
205,39,,,,,1,15423,91,1,11,3,1,4,1,8,,2,59,6,2,1,4,38,1,,,High,New,0,0,0,Level 3
206,55,,,,,1,14609,37,26,4,5,1,2,4,40,,3,52,1,3,2,4,40,4,,,High,,1,1,1,Level 3
207,38,,,,,4,13409,26,22,4,0,2,2,2,24,,1,51,8,1,2,1,49,1,,,High,,1,0,0,Level 3
